login_time,session_len,user
54348.7143397,185.093310956,0.0
51552.3866933,1071.89944604,0.0
54997.747174,121.375724957,0.0
47341.879176,283.917934393,1.0
52390.8913956,65.3579628989,1.0
48432.5524012,45.1332829461,1.0
51660.5719666,1743.10430821,1.0
50686.7567936,202.486861075,1.0
45496.9128679,24.2367703623,1.0
54052.4524523,540.796020844,1.0
55205.177876,283.631912841,1.0
40757.6882598,16.6148381245,1.0
55090.666498,144.690371826,1.0
52363.3324553,218.656885467,1.0
44280.0267191,234.492290796,1.0
45603.8112251,58.3834223953,1.0
44698.4255967,442.248105602,1.0
46225.3758921,341.074442841,1.0
45562.5093941,173.229431401,1.0
49467.0527473,83.1080758381,1.0
52846.6800173,653.96727297,1.0
51823.9880974,512.227884118,1.0
53462.7713449,898.116684483,1.0
44431.4338949,373.737095118,1.0
46206.4141081,171.408249546,1.0
47925.3370327,439.600943401,1.0
49763.1806973,143.620534893,1.0
53981.3891477,322.213105758,1.0
40811.7040334,405.140557611,1.0
49929.4394861,153.927433955,1.0
43395.2132383,64.9430266548,1.0
39835.9084484,55.5065943222,1.0
63959.1863631,156.747747216,1.0
44901.2849037,444.791698274,1.0
46667.3956417,942.241451822,1.0
45871.1421506,2087.3073891,1.0
46411.2478815,90.093468921,1.0
57103.2323813,425.236831221,1.0
54725.8250314,167.180006244,1.0
48396.4861035,443.681330555,1.0
44407.047032,15.666266659,1.0
47884.086141,97.3323859478,1.0
58790.0638975,428.128476578,1.0
62717.8505299,115.148112047,1.0
38363.5023742,90.046065922,1.0
59678.5250039,474.984927277,1.0
44404.7132617,24.2863088003,1.0
52500.0318987,33.1342544942,1.0
49745.7790776,276.692280923,1.0
55710.9491022,753.351883552,1.0
49217.6763817,393.322123127,1.0
42984.0605608,425.048316913,1.0
42770.6160824,467.298246691,1.0
51178.7318825,517.592465793,1.0
51934.682032,257.204838207,1.0
47609.1891184,298.788535696,1.0
55327.8909631,61.2901615385,1.0
54257.37225,330.647743377,1.0
60725.236575,243.267824744,1.0
51441.3308337,408.453982039,1.0
49776.4625663,101.430746317,1.0
43505.8965174,817.002584085,1.0
50904.8525149,70.8158305406,1.0
50826.8372733,211.503763396,1.0
40597.9213259,311.269323235,1.0
45713.7759923,33.248454613,1.0
47954.7452335,273.304380757,1.0
54258.9548337,44.8743429557,1.0
48384.0852009,1241.70387024,1.0
62292.6512238,287.38797296,1.0
48356.4043202,65.5898437473,1.0
50013.2266387,165.834449417,1.0
46679.676516,223.419167011,1.0
45757.4450134,37.0568820728,1.0
48965.2140405,1148.10581424,1.0
52381.7558558,74.3422836033,1.0
34875.8669982,7.59446953776,1.0
50301.6320359,43.5657947776,1.0
50297.8565421,315.080049763,1.0
48266.2634715,297.517211837,1.0
46246.3840269,490.018042245,1.0
38680.7775109,19.7928521287,1.0
49411.7865208,838.908344593,1.0
52917.8437071,704.3964208,1.0
51573.2963818,101.154967186,1.0
44498.3715694,222.791699635,1.0
55632.7803388,42.4734939834,1.0
49818.5694868,818.053482135,1.0
51459.3086515,229.196661844,1.0
56543.5010336,787.094195132,1.0
48191.1874076,228.561040522,1.0
56940.0998662,2098.40718467,1.0
46420.382469,972.489324963,1.0
43787.0876139,425.61092228,1.0
49484.1020038,1624.53874439,1.0
61882.6942766,350.603678339,1.0
49881.1275084,36.634235343,1.0
47026.2882579,77.9863585602,1.0
54372.5184708,190.442298185,1.0
49061.5178438,38.5793402201,1.0
46342.0436494,50.09485928,1.0
48140.4318981,20.9060618676,1.0
47714.2837697,429.852521841,1.0
55055.0135482,516.688460908,1.0
46503.714596,152.911511519,1.0
51403.296274,1059.17223317,1.0
50538.3728371,244.203370274,1.0
48121.9749086,107.005918817,1.0
